_id,symbol,buy,sell,strong_buy,strong_sell,hold,period
6440abe8c8ef2e03ef2b11bd,AAPL,27,1,12,0,8,2023-04-01
6440abe8c8ef2e03ef2b11be,MSFT,29,0,21,1,9,2023-04-01
6440abe8c8ef2e03ef2b11bf,GOOG,33,0,20,0,6,2023-04-01
6440abe9c8ef2e03ef2b11c0,AMZN,35,1,18,0,5,2023-04-01
