_id,Open,High,Low,Close,Adj Close,Volume
643a659588d52bfb1abb185c,21.75,21.979999542236328,21.270000457763672,21.969999313354492,21.969999313354492,0
643a659588d52bfb1abb185d,22.219999313354492,22.459999084472656,20.579999923706055,20.579999923706055,20.579999923706055,0
643a659588d52bfb1abb185e,20.799999237060547,21.25,20.6200008392334,21.09000015258789,21.09000015258789,0
643a659588d52bfb1abb185f,21.559999465942383,21.799999237060547,18.829999923706055,18.829999923706055,18.829999923706055,0
643a659588d52bfb1abb1860,19,19.40999984741211,18.010000228881836,18.350000381469727,18.350000381469727,0
643a659588d52bfb1abb1861,19.889999389648438,20.219999313354492,19.209999084472656,19.360000610351562,19.360000610351562,0
643a659588d52bfb1abb1862,19.280000686645508,20.579999923706055,18.709999084472656,20.34000015258789,20.34000015258789,0
643a659588d52bfb1abb1863,20.43000030517578,21.709999084472656,20.170000076293945,20.520000457763672,20.520000457763672,0
643a659588d52bfb1abb1864,20.280000686645508,20.700000762939453,19.40999984741211,19.850000381469727,19.850000381469727,0
643a659588d52bfb1abb1865,20.209999084472656,20.329999923706055,19.549999237060547,19.809999465942383,19.809999465942383,0
643a659588d52bfb1abb1866,19.889999389648438,20.469999313354492,18.90999984741211,19.200000762939453,19.200000762939453,0
643a659588d52bfb1abb1867,19.559999465942383,20.899999618530273,18.989999771118164,19.079999923706055,19.079999923706055,0
643a659588d52bfb1abb1868,19.049999237060547,19.479999542236328,18.670000076293945,18.729999542236328,18.729999542236328,0
643a659588d52bfb1abb1869,18.899999618530273,19,17.969999313354492,18.510000228881836,18.510000228881836,0
643a659588d52bfb1abb186a,19.760000228881836,20.25,19.540000915527344,19.940000534057617,19.940000534057617,0
643a659588d52bfb1abb186b,20.1200008392334,20.700000762939453,19.1299991607666,19.399999618530273,19.399999618530273,0
643a659588d52bfb1abb186c,19.6200008392334,20.040000915527344,17.700000762939453,17.8700008392334,17.8700008392334,0
643a659588d52bfb1abb186d,17.739999771118164,19.25,17.059999465942383,18.729999542236328,18.729999542236328,0
643a659588d52bfb1abb186e,18.56999969482422,19.299999237060547,17.93000030517578,18.329999923706055,18.329999923706055,0
643a659588d52bfb1abb186f,19.229999542236328,19.809999465942383,19.209999084472656,19.43000030517578,19.43000030517578,0
643a659588d52bfb1abb1870,19.540000915527344,19.989999771118164,18.43000030517578,18.65999984741211,18.65999984741211,0
643a659588d52bfb1abb1871,18.8799991607666,20.1200008392334,18.549999237060547,19.6299991607666,19.6299991607666,0
643a659588d52bfb1abb1872,19.239999771118164,21.079999923706055,19.020000457763672,20.709999084472656,20.709999084472656,0
643a659588d52bfb1abb1873,20.739999771118164,21.940000534057617,20.440000534057617,20.530000686645508,20.530000686645508,0
643a659588d52bfb1abb1874,21.65999984741211,21.690000534057617,20.329999923706055,20.34000015258789,20.34000015258789,0
643a659588d52bfb1abb1875,20.719999313354492,20.75,18.479999542236328,18.90999984741211,18.90999984741211,0
