_id,symbol,bid,ask,price,high,low,change,change_percent
646c42670b2dbbb82c828667,EURUSD=X,1.0812,1.0817,1.0814,1.0826,1.0806,-0.0005,-0.05
646c42670b2dbbb82c828668,GBPUSD=X,1.2435,1.2436,1.2436,1.2447,1.2426,-0.0001,-0.01
646c42680b2dbbb82c828669,USDJPY=X,138.554,138.565,138.5595,138.878,138.42,-0.011,-0.01
646c42680b2dbbb82c82866a,AUDUSD=X,0.6655,0.6653,0.6654,0.6664,0.6642,0.0002,0.03
646c42680b2dbbb82c82866b,USDCHF=X,0.8984,0.8979,0.8982,0.8991,0.8968,0.0005,0.06
646c42690b2dbbb82c82866c,USDCAD=X,1.3496,1.3502,1.3499,1.3507,1.3481,-0.0006,-0.04
