_id,Symbol,Start Date,End Date
64674accb4ef64b31ecbec93,GC=F,2022-05-01,2023-05-01
64674acdb4ef64b31ecbed8e,SI=F,2022-05-01,2023-05-01
64674acdb4ef64b31ecbee8b,CL=F,2022-05-01,2023-05-01
64674af70a6a138f5d23438d,GC=F,2022-05-01,2023-05-01
64674af80a6a138f5d234488,SI=F,2022-05-01,2023-05-01
64674af90a6a138f5d234585,CL=F,2022-05-01,2023-05-01
